gate_group,model_id,variable,group,question,expected_sign,coef_21d,t_hac_21d,coef_63d,t_hac_63d,coef_126d,t_hac_126d,nonoverlap_coef_63d,nonoverlap_t_63d,active_n_63d,nonoverlap_active_n_63d,direction_63_ok,adjacent_horizon_direction_ok,nonoverlap_direction_ok,economic_effect_63d,economic_magnitude_ok,coverage_ok,passes_gate
step1_bond_credit_main_effect_gate,step1_bond_credit_main_effects,r,0_main_effect,Rate relief: -z(10Y yield 21d change),1.0,-0.005500237457268593,-1.1324622667503856,-0.0025306911034137635,-0.30077109440406785,0.018972178507850018,1.7229336347131696,-0.008791893075167145,-0.22931840301368878,5010,37,False,True,False,-0.0025306911034137635,False,True,False
step1_bond_credit_main_effect_gate,step1_bond_credit_main_effects,d,0_main_effect,SPY drawdown depth: -z(SPY drawdown),1.0,0.07144316127727325,5.547983211723566,0.12670635798764995,3.50689258860284,0.15363597539421803,2.5048451000527137,0.10121024385113299,1.1460209878850556,5005,37,True,True,True,0.12670635798764995,True,True,True
step1_bond_credit_main_effect_gate,step1_bond_credit_main_effects,vh,0_main_effect,High VIX: z(VIX 3Y percentile),,-0.006641703228695482,-2.065914883876803,-0.014436992343526847,-2.070088306921439,-0.02658715605151244,-2.5978090271746552,-0.02957466162578238,-1.3082444834288975,4780,37,,,,-0.014436992343526847,True,True,False
step1_bond_credit_main_effect_gate,step1_bond_credit_main_effects,vr,0_main_effect,VIX relief: -z(VIX 21d change),1.0,0.0019198809991375788,0.6318061726541402,-0.0004967596068739611,-0.08356042450755168,-0.005448447116898044,-0.5231189048976974,-0.04492730319457817,-1.1653375892446678,5010,37,False,True,False,-0.0004967596068739611,False,True,False
step1_bond_credit_main_effect_gate,step1_bond_credit_main_effects,g63,0_main_effect,G-D trailing 63d relative strength,,0.0003292908762663636,0.10254147661033997,0.001533681736820128,0.1389318741591905,-0.006539702445657405,-0.3835745766963625,-0.011164121426465539,-0.6033020864477474,2300,36,,,,0.001533681736820128,False,True,False
step1_bond_credit_main_effect_gate,step1_bond_credit_main_effects,g126,0_main_effect,G-D trailing 126d relative strength,-1.0,-0.007809322316088219,-1.826092124198448,-0.021651842072006967,-2.2483307454782238,-0.02989283504368434,-1.7871755467716357,-0.03485842182903064,-1.6859675589025402,2237,35,True,True,True,-0.021651842072006967,True,True,True
step1_bond_credit_main_effect_gate,step1_bond_credit_main_effects,cs,0_main_effect,Credit stress level: z(BAA-10Y spread),,0.022792812867654746,2.0323153150671556,0.027037413906267647,1.1235371842013342,0.014397053362607664,0.4522089564793696,0.01844672288535874,0.2924272955267037,5031,37,,,,0.027037413906267647,True,True,False
step1_bond_credit_main_effect_gate,step1_bond_credit_main_effects,ce,0_main_effect,Credit relief: -z(BAA-10Y spread 21d change),1.0,0.004622555884406911,1.056103694999652,0.01309238090480051,1.6967495380242392,0.022391717582555076,2.23930305407542,0.0014367488234036697,0.050716399809371975,5010,37,True,True,True,0.01309238090480051,True,True,True
step1_bond_credit_main_effect_gate,step1_bond_credit_main_effects,cg,0_main_effect,Credit quality gap: z(BAA spread - AAA spread),,-0.005377902093987989,-0.49048315376184803,0.027151552597999846,1.046567299558499,0.05952410445680635,1.27378530122221,0.04144098850107915,0.6224238656245417,5031,37,,,,0.027151552597999846,True,True,False
step1_bond_credit_main_effect_gate,step1_bond_credit_main_effects,hys,0_main_effect,HY ETF stress: z(HYG 252d drawdown depth),,-0.03597477243804486,-5.505365507318281,-0.06811430552061214,-3.936149477322318,-0.08211347869218594,-2.7628066115161225,-0.06252426643575294,-1.610683630237091,3490,37,,,,-0.06811430552061214,True,True,False
step1_bond_credit_main_effect_gate,step1_bond_credit_main_effects,hyr,0_main_effect,HY ETF relief: z(HYG/LQD 21d relative return),1.0,-0.008539918713591443,-2.2253434674323835,-0.021421216121442762,-2.4107769235633416,-0.01339838689460341,-1.7644315949777303,-0.026782985738435384,-0.6830298842240143,3594,37,False,False,False,-0.021421216121442762,True,True,False
step1_bond_credit_main_effect_gate,step1_bond_credit_main_effects,lqs,0_main_effect,IG credit stress: z(LQD/SHY 21d weakness),,0.0032415790026747255,0.8831044304757927,0.007548774413186639,1.067228621626954,0.021211988881863108,1.9021974410148845,-0.03427534788462287,-0.8666977144763952,3594,37,,,,0.007548774413186639,False,True,False
