comparison,annualized_excess_return,max_dd_diff,sharpe_diff,turnover_diff
Bond/Credit Best - Bond/Credit Core Only,-0.0005797662798301406,-0.00026531041636723707,-0.0027657939255547603,0.09932688002005974
Bond/Credit Best - Old Best + Bond/Credit Incremental,-0.020708719798126607,-0.025853038044433396,-0.10488908866101854,-2.3995246732678748
Bond/Credit Best - Existing Smooth Score Best Local,-0.015093464159155356,-0.02869817865884805,-0.07398330804035469,-2.993953757850587
Bond/Credit Best - 50/50 G-D Buy & Hold,0.006066787632876158,-0.009163226340821673,0.020992568857921556,1.702790570133882
Bond/Credit Best - 100% G Buy & Hold,-0.03609055647428505,-0.0015754429022760696,-0.00470502723134425,1.702790570133882
Bond/Credit Best - 100% D Buy & Hold,0.05310887354063887,0.022098800149058517,0.17933217550402492,1.702790570133882
Bond/Credit Best - SPY Buy & Hold,0.024843869456930623,-0.007856897104234983,0.08386164137967578,1.702790570133882
Old Best + Bond/Credit Incremental - Existing Smooth Score Best Local,0.0056152556389712505,-0.002845140614414654,0.030905780620663847,-0.5944290845827123
Old Best + Bond/Credit Incremental - Bond/Credit Smooth Score Best,0.020708719798126607,0.025853038044433396,0.10488908866101854,2.3995246732678748
