portfolio,dependent_return,start_date,end_date,n_obs,nw_lag,r2,adj_r2,rmse_daily,alpha_daily,alpha_annualized,alpha_t,alpha_t_nw,beta_mkt_rf,t_mkt_rf,t_nw_mkt_rf,beta_smb,t_smb,t_nw_smb,beta_hml,t_hml,t_nw_hml,beta_rmw,t_rmw,t_nw_rmw,beta_cma,t_cma,t_nw_cma,beta_mom,t_mom,t_nw_mom
QQQ,QQQ excess return,2006-05-23,2026-03-31,4995,10,0.9238319533848346,0.9237403318371821,0.003876643885820135,0.0001392621455056233,0.03571459378330544,2.5350746034040883,2.7552230543016614,1.078436983362427,220.56236881861994,84.20646257809622,-0.05470036055764521,-5.937412233381609,-3.3955660619491934,-0.3122198042627946,-35.50332387192215,-20.49369872528051,0.013756449873745556,1.0892216270957666,0.7441458291413676,-0.2161148640137647,-13.346243177534852,-7.360968161089298,0.03936074366218924,6.629126775937602,3.7994676425704457
XLK,XLK excess return,2012-01-04,2026-03-31,3580,9,0.9076441398225336,0.9074890502168619,0.004202447389161018,7.303686562256368e-05,0.01857502685080914,1.0379998482982837,1.0579591311205685,1.1931783167286272,171.14237567780006,109.3140836849522,-0.15579024344217998,-12.26108467927056,-9.9821485445709,-0.3163442914192075,-26.319432475690505,-13.899348372311751,0.1325841799306065,8.105770730868295,5.455411782585958,-0.04826324365783081,-2.388141948256253,-0.9968930058073807,0.05141950364920151,6.651212888794239,4.112217814469638
VGT,VGT excess return,2012-01-04,2026-03-31,3580,9,0.9157558031724701,0.915614335167722,0.004070392216750424,0.00010834548927533045,0.027677687511935112,1.5897616783621626,1.6050518275545564,1.189605253701792,176.16559836876078,101.23725765036518,-0.06602015479269209,-5.364524092807756,-3.9998014986193318,-0.32930990692896545,-28.28702932726557,-14.958926926246281,0.06027685665937363,3.8046896012965776,2.7402317240964176,-0.11752492138083605,-6.003985379719529,-2.5582903298197834,0.050398460781776205,6.730638532599168,4.13983757898164
SPYG,SPYG excess return,2012-01-04,2026-03-31,3580,9,0.967472000882808,0.9674173778784131,0.002127135497562647,1.2246965414910936e-06,0.00030867096855891063,0.0343867225312564,0.04236087092845556,1.056186488787545,299.29533060140034,131.49548673005125,-0.13734989367477196,-21.356205611028383,-15.50413662820941,-0.21281817809294706,-34.98101200538537,-16.79849458129068,0.08616064367985198,10.406835117026,7.054942947489583,-0.07723410195667306,-7.550224441585726,-3.052981705806653,0.036997146039562154,9.454712396487196,4.313110831587778
VUG,VUG excess return,2012-01-04,2026-03-31,3580,9,0.9771826473295436,0.9771443310362263,0.0018532247369692754,1.1159226344479014e-05,0.002816067036811809,0.3596362379708439,0.3745065762043953,1.075674283391194,349.870387732886,137.53019074090585,-0.11433307589935157,-20.404911708976112,-13.538461359356928,-0.26459830131341394,-49.920366703708915,-25.68884859080098,0.028889735809694905,4.005164664092263,2.643251971518462,-0.1458683123343901,-16.367365682532586,-6.698267501889825,0.006462128160733292,1.8954953886199066,1.1526902616274721
SCHD,SCHD excess return,2012-01-04,2026-03-31,3580,9,0.874993727828075,0.8747838096548224,0.003446737130996662,8.688858697469908e-07,0.00021898311734180886,0.015056083680207326,0.01538845594454145,0.8483833162740773,148.36738615384974,56.66128779785514,0.0023763413325133646,0.22802978627507967,0.11874066219938327,0.18317096615539735,18.58092272350605,7.923874266182103,0.23286542841443827,17.358082518771347,11.792587847962759,0.2710604635469409,16.353244493108857,5.972466984284173,-0.08094597244310879,-12.766220339384876,-6.7607002201099915
VYM,VYM excess return,2012-01-04,2026-03-31,3580,9,0.9274620810397749,0.927340270932369,0.0025852769953062663,-3.506151232936866e-05,-0.008796736306493913,-0.8099925253075042,-0.8697055816685326,0.8624674852758164,201.08984463954386,74.74332945306281,-0.055758328708252945,-7.133350883950763,-3.102242254953304,0.2593051506889105,35.06895828520167,18.19152232336866,0.08107125865362887,8.056839794646415,5.345058467775433,0.23759337619765947,19.110548982828035,7.258705026958119,-0.03284104340331683,-6.905340826556766,-3.9643964772168196
VTV,VTV excess return,2012-01-04,2026-03-31,3580,9,0.9427624893842733,0.9426663726577985,0.002363133075807025,-2.888814143762038e-05,-0.007253482385820131,-0.730110965121317,-0.7651885853953946,0.8869442806671058,226.2364866028891,68.61396988861311,-0.07106129023483286,-9.945710891661966,-4.880077932318047,0.30422971759985373,45.012409287923596,22.4138726439098,0.033694327970651534,3.6633086724715618,2.558184121307668,0.18480994823586602,16.262341710858927,6.005316617861525,-0.036728028891061526,-8.448598977818351,-4.836277307444878
FDVV,FDVV excess return,2016-09-16,2026-03-31,2397,8,0.932184617090386,0.932014369267182,0.002806768074750178,-1.006360696116901e-05,-0.0025328286780249565,-0.17524991482413385,-0.17848196147244555,0.8828834593718335,170.46131054867107,90.24850369172005,-0.04252749268932487,-4.371694995752482,-3.2376797826194363,0.2285631612736787,26.256946981860956,16.211550263387593,0.047909797676793764,4.000627411314374,3.2785397656126043,0.18222914863298045,12.635666659513054,9.45408837033339,-0.0680726679091641,-12.000685207059531,-8.863437289702848
COWZ,COWZ excess return,2016-12-21,2026-03-31,2330,8,0.8807179142398419,0.8804098244789461,0.00437948263881225,5.8282720142987196e-05,0.014795198732117987,0.641331075195746,0.7114503692187648,0.9336979776660743,115.10000557708004,91.61476795389474,0.2656324422435037,17.24002909584344,14.213698673903167,0.22348233404153467,16.350572060918026,10.903578554995585,0.14952376466946518,7.881711963585039,5.436666858955886,0.22408336652279603,9.864779970299399,7.088201617734686,-0.1122148152027687,-12.632338312819554,-7.197939359909786
