method_label,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth,comparison_type,config_id,ann_excess_vs_smooth,max_dd_diff_vs_smooth,scale_to_g,static_g_weight
Smooth Score Best Local,2105,2017-06-28,2026-05-15,3.3111604093404665,0.1911608745488831,0.19379884952676443,1.0000434495273798,1.212324786834683,-0.3179336246711274,0.6012603251594453,4.171666302692643,0.4478289252347697,4.3111604093404665,target,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.0,0.0,,
100% G Buy & Hold,2105,2017-06-28,2026-05-15,3.950221820488742,0.2110357574187589,0.23808299876507855,0.9237756753068511,1.1464426433976358,-0.34345533862955036,0.6144489069840352,0.0,1.0,4.950221820488742,baseline,,0.026128012968107496,-0.025521713958422954,,
Vol-Matched 100% G,2105,2017-06-28,2026-05-15,2.8113351155152335,0.17371763174165622,0.19379884952676443,0.9237756753068509,1.1593574949897578,-0.28555595477874307,0.6083488326351226,0.0,0.8139970116807452,3.8113351155152335,vol_matched_g,,-0.014780606899905482,0.03237766989238433,0.813997011680745,
50/50 G-D,2105,2017-06-28,2026-05-15,2.706287077015979,0.16979704169151466,0.19528526706025043,0.901282502549495,1.067240129491474,-0.33586755519100486,0.505547615621737,0.0,0.5,3.706287077015979,baseline,,-0.01780007578807413,-0.01793393051987746,,
100% D Buy & Hold,2105,2017-06-28,2026-05-15,1.6422078765976647,0.1233517399608941,0.17700376644718208,0.7461937567884452,0.8506333799712172,-0.3671295816808855,0.33598965083699867,0.0,0.0,2.6422078765976647,baseline,,-0.061728164544255754,-0.049195957009758096,,
SPY Buy & Hold,2105,2017-06-28,2026-05-15,2.2810373581714596,0.15285386385714506,0.18916512442054365,0.8469890542718187,0.984396996168511,-0.33717388442759166,0.4533383838924528,0.0,,3.2810373581714596,baseline,,-0.033586480161015904,-0.019240259756464262,,
Vol-Matched Static G/D (48% G),2105,2017-06-28,2026-05-15,2.659895349322063,0.16803439459070502,0.19400686805565506,0.8981644433684393,1.0617474412638017,-0.33696793948251813,0.49866582218105243,0.0,0.48000000000000015,3.659895349322063,vol_matched_static_gd,,-0.019557199338321393,-0.01903431481139073,,0.48
MaxDD-Matched Static G/D (82% G),2105,2017-06-28,2026-05-15,3.4857197100794597,0.19683439228644595,0.22057639584091315,0.9253989767712226,1.1307340370627341,-0.3181451038344839,0.6186937655619233,0.0,0.8200000000000001,4.48571971007946,maxdd_matched_static_gd,,0.010313901015882103,-0.0002114791633565094,,0.82
Best Sharpe Static G/D (87% G),2105,2017-06-28,2026-05-15,3.6131335957214903,0.20085414453957817,0.22523708982786722,0.9257533030906938,1.1367435112050484,-0.31645968668813007,0.6346910933319581,0.0,0.8699999999999998,4.61313359572149,best_sharpe_static_gd,,0.014706709891500276,0.001473937982997331,,0.87
Best Calmar Static G/D (87% G),2105,2017-06-28,2026-05-15,3.6131335957214903,0.20085414453957817,0.22523708982786722,0.9257533030906938,1.1367435112050484,-0.31645968668813007,0.6346910933319581,0.0,0.8699999999999998,4.61313359572149,best_calmar_static_gd,,0.014706709891500276,0.001473937982997331,,0.87
Best CAGR Static G/D under Smooth MaxDD (87% G),2105,2017-06-28,2026-05-15,3.6131335957214903,0.20085414453957817,0.22523708982786722,0.9257533030906938,1.1367435112050484,-0.31645968668813007,0.6346910933319581,0.0,0.8699999999999998,4.61313359572149,best_cagr_static_under_smooth_maxdd,,0.014706709891500276,0.001473937982997331,,0.87
